Amount,Date,Recipient
$192.00,7/31/2020,Cigna Corporation Political Action Committee
$192.00,7/17/2020,Cigna Corporation Political Action Committee
$192.00,7/3/2020,Cigna Corporation Political Action Committee
$192.00,6/19/2020,Cigna Corporation Political Action Committee
$192.00,6/5/2020,Cigna Corporation Political Action Committee
$192.00,5/22/2020,Cigna Corporation Political Action Committee
$192.00,5/8/2020,Cigna Corporation Political Action Committee
$192.00,4/24/2020,Cigna Corporation Political Action Committee
$192.00,4/10/2020,Cigna Corporation Political Action Committee
$192.00,3/27/2020,Cigna Corporation Political Action Committee
$192.00,3/13/2020,Cigna Corporation Political Action Committee
$192.00,2/28/2020,Cigna Corporation Political Action Committee
$192.00,2/14/2020,Cigna Corporation Political Action Committee
$192.00,1/31/2020,Cigna Corporation Political Action Committee
$192.00,12/20/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$192.00,12/6/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$192.00,11/22/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,11/8/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,10/25/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,10/11/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,9/27/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,9/13/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,8/30/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,8/16/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,8/9/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,7/26/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,7/12/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,6/28/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,6/14/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,5/31/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,5/17/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,5/3/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,4/19/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,4/5/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,3/22/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,3/8/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,2/22/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,2/8/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,1/25/2019,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,12/28/2018,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$115.38,12/14/2018,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
