Amount,Date,Recipient
"$1,000.00",7/30/2018,McCaskill for Missouri
"$1,000.00",7/30/2018,McCaskill for Missouri
"$2,700.00",12/22/2017,Cort Vanostran for Congress
"$2,700.00",7/27/2017,Cort Vanostran for Congress
"$2,700.00",2/7/2017,McCaskill for Missouri
"$2,700.00",2/7/2017,McCaskill for Missouri
"$2,700.00",2/7/2017,McCaskill for Missouri
"$2,700.00",2/7/2017,McCaskill for Missouri
"$1,000.00",10/15/2016,Missourians for Kander
"$1,000.00",10/15/2016,Missourians for Kander
$250.00,2/12/2016,Chappelle-Nadal for Congress
"$2,000.00",9/24/2012,Missouri Democratic State Committee
"$2,000.00",9/11/2012,McCaskill Victory Fund
"$2,500.00",5/29/2012,McCaskill for Missouri
"$2,500.00",5/29/2012,McCaskill for Missouri
"$1,200.00",6/30/2010,Robin Carnahan for Senate
$500.00,1/22/2010,Tommy Sowers for Congress
$200.00,12/18/2009,Robin Carnahan for Senate
"$1,000.00",6/29/2009,Robin Carnahan for Senate
"$2,400.00",3/11/2009,Robin Carnahan for Senate
"$2,000.00",10/31/2008,Obama Victory Fund
"$2,000.00",10/24/2008,Obama Victory Fund
"$8,650.00",12/12/2007,Missouri Democratic State Committee
$600.00,8/8/2006,McCaskill for Missouri
$500.00,3/14/2006,Lindsey Graham for Senate
$200.00,2/17/2006,Carnahan in Congress
$500.00,12/2/2005,McCaskill for Missouri
$500.00,3/31/2005,Carnahan in Congress
"$4,000.00",7/2/2004,Missouri Democratic State Committee
"$4,000.00",7/2/2004,Missouri Democratic State Committee
$700.00,5/15/2004,Missouri Democratic State Committee
"$2,000.00",2/3/2004,Edwards for President
$500.00,1/12/2004,Nancy Farmer for U S Senate
$300.00,12/30/2003,Bush-Cheney '04 Inc
$300.00,11/19/2002,Republican National Committee
"$1,000.00",7/31/2003,Stoll 2004
"$2,000.00",6/16/2003,Gephardt for President Inc
$300.00,11/19/2002,Republican National Committee
$250.00,5/24/2002,Democratic Congressional Campaign Committee - Contributions
"$1,000.00",11/13/2001,Gephardt in Congress Committee
"$1,000.00",11/13/2001,Democratic Leader's Victory Fund 2002
$500.00,9/7/2001,Jean Carnahan for Missouri Committee
"$1,000.00",5/15/2001,Jean Carnahan for Missouri Committee
"$1,000.00",5/15/2001,Jean Carnahan for Missouri Committee
$500.00,10/2/2000,Ted House for Congress Committee
$250.00,7/20/2000,Ted House for Congress Committee
$250.00,7/20/2000,Ted House for Congress Committee
"$1,000.00",12/2/1999,Carnahan for Senate Committee
"$1,000.00",12/2/1999,Missouri 2000
"$1,000.00",6/17/1999,Carnahan for Senate Committee
"$1,000.00",10/24/1997,Victory in Missouri
"$1,000.00",10/24/1997,Nixon Campaign Fund
"$1,000.00",6/30/1997,Nixon Campaign Fund
$350.00,9/20/1996,Firebaugh for Congress Committee
$250.00,4/10/1996,Democratic Leader's Victory Fund 1996
$250.00,4/10/1996,Gephardt in Congress Committee
$200.00,4/12/1994,Orbitals for Senate Committee
$200.00,9/5/1990,Russ Carnahan for Congress Committee
"$1,000.00",10/30/1987,Jay Nixon for United States Senate
