Amount,Date,Recipient
"$2,800.00",11/12/2019,Blaine for Congress
"$5,600.00",9/30/2019,Josh Hawley for Senate
"$5,000.00",11/29/2018,Missouri Republican State Committee-Federal
"$2,700.00",10/12/2018,Hawley Victory Committee
"$2,700.00",10/12/2018,NRSC
"$5,400.00",12/31/2017,Josh Hawley for Senate
"$2,500.00",7/14/2017,Jason Smith for Congress
"$2,700.00",7/14/2017,Jason Smith for Congress
"$2,600.00",6/21/2017,Mick Rich for US Senate
"$5,400.00",2/17/2017,Ann Wagner for Congress
"$2,500.00",2/8/2017,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$5,000.00",6/29/2016,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$2,700.00",12/22/2015,Marco Rubio for President
"$2,700.00",10/16/2015,Vicky Hartzler for Congress
"$2,500.00",7/27/2015,Jason Smith for Congress
"$2,700.00",7/27/2015,Jason Smith for Congress
"$2,500.00",6/30/2015,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$5,400.00",4/22/2015,Ann Wagner for Congress
"$5,400.00",3/13/2015,Blaine for Congress
"$2,600.00",10/22/2014,Jason Smith for Congress
"$1,000.00",5/12/2014,Boehner for Speaker
"$1,000.00",5/12/2014,Friends of John Boehner
"$2,500.00",1/10/2014,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$5,200.00",12/23/2013,Friends of Roy Blunt
"$30,000.00",12/18/2013,National Republican Senatorial Committee
"$5,200.00",8/21/2013,Vicky Hartzler for Congress
"$2,600.00",8/19/2013,Jason Smith for Congress
"$2,600.00",4/22/2013,Jason Smith for Congress
"$2,600.00",3/25/2013,Blaine for Congress
"$5,200.00",3/20/2013,Ann Wagner for Congress
"$5,000.00",3/1/2013,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$2,000.00",10/22/2012,Building Leadership and Inspiring New Enterprise PAC
"$20,000.00",10/8/2012,Romney Victory Inc
"$2,500.00",10/8/2012,Romney for President Inc
"$2,500.00",10/8/2012,Romney for President Inc
"$15,000.00",10/8/2012,Republican National Committee
"$2,500.00",9/18/2012,Ann Wagner for Congress
"$2,000.00",7/16/2012,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$5,000.00",6/29/2012,Vicky Hartzler for Congress
"$2,500.00",3/19/2012,Blaine for Congress 2014
"$2,500.00",2/8/2012,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$5,000.00",11/21/2011,Billy Long for Congress
"$2,500.00",10/17/2011,RickPerry.org Inc
"$2,500.00",6/3/2011,Blaine for Congress 2014
"$1,000.00",1/28/2011,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$5,000.00",1/24/2011,Building Leadership and Inspiring New Enterprise PAC
"$2,400.00",10/28/2010,Billy Long for Congress
"$5,000.00",10/18/2010,Building Leadership and Inspiring New Enterprise PAC
"$2,400.00",10/17/2010,Vicky Hartzler for Congress
"$30,400.00",9/30/2010,Blunt Victory Committee
"$30,400.00",9/30/2010,National Republican Senatorial Committee
"$2,400.00",9/15/2010,Blaine for Congress 2012
"$2,400.00",6/30/2010,Stouffer for Congress
$500.00,3/3/2010,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
$10.00,2/6/2010,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
$100.00,2/5/2010,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
$100.00,2/4/2010,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$2,400.00",12/28/2009,Nodler for Congress
"$2,400.00",12/28/2009,Nodler for Congress
"$1,000.00",6/25/2009,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
"$2,400.00",6/24/2009,Blaine for Congress 2012
"$4,800.00",6/19/2009,Friends of Roy Blunt
"$2,300.00",8/26/2008,Blaine for Congress 2008
"$2,300.00",8/26/2008,Blaine for Congress 2008
"$2,500.00",6/20/2008,"Associated Builders and Contractors, PAC"
"$1,000.00",3/27/2008,Pat Roberts for U S Senate Inc
"$2,500.00",3/21/2007,"Associated Builders and Contractors, PAC"
$150.00,9/25/2006,"Associated Builders and Contractors, PAC"
"$1,000.00",3/21/2006,"Associated Builders and Contractors, PAC"
"$1,900.00",8/30/2005,Hulshof for Congress
"$2,100.00",8/30/2005,Hulshof for Congress
"$1,000.00",4/12/2005,"Associated Builders and Contractors, PAC"
"$2,100.00",3/31/2005,Talent for Senate Committee
"$1,900.00",3/31/2005,Talent for Senate Committee
"$1,000.00",5/5/2004,Graves for Congress
"$2,000.00",6/25/2003,Hulshof for Congress
"$2,000.00",3/31/2003,Hulshof for Congress
"$1,000.00",3/6/2003,"Associated Builders and Contractors, PAC"
$750.00,5/21/2002,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
$250.00,1/25/2002,Associated Builders and Contractors Political Action Acommittee (ABC PAC)
