Amount,Date,Recipient
"$1,000.00",7/15/2020,Amanda Adkins for Congress
$750.00,11/26/2019,American Institute of Certified Public Accountants Political Action Committee
"$1,000.00",5/13/2019,Billy Long for Congress
$750.00,11/15/2018,American Institute of Certified Public Accountants Political Action Committee
$750.00,11/21/2017,American Institute of Certified Public Accountants Political Action Committee
$750.00,11/21/2016,American Institute of Certified Public Accountants Political Action Committee
$250.00,6/29/2016,Friends of Roy Blunt
"$1,000.00",12/30/2015,Billy Long for Congress
"$2,700.00",12/30/2015,Marco Rubio for President
$500.00,11/6/2015,American Institute of Certified Public Accountants Political Action Committee
"$1,000.00",9/5/2015,Billy Long for Congress
"$1,000.00",3/23/2015,Billy Long for Congress
$500.00,11/26/2014,American Institute of Certified Public Accountants Political Action Committee
"$1,000.00",8/18/2014,Billy Long for Congress
$400.00,3/31/2014,Billy Long for Congress
"$1,600.00",3/31/2014,Billy Long for Congress
$500.00,11/18/2013,American Institute of Certified Public Accountants Political Action Committee
"$1,000.00",9/23/2013,Jason Smith for Congress
"$1,000.00",9/5/2013,Billy Long for Congress
$350.00,6/6/2012,American Institute of Certified Public Accountants Political Action Committee
"$2,500.00",3/27/2012,National Republican Congressional Committee
"$1,000.00",7/25/2011,Friends of Roy Blunt
$350.00,6/8/2011,American Institute of Certified Public Accountants Political Action Committee
$100.00,3/22/2011,Steelman for US Senate
$100.00,3/2/2011,Steelman for US Senate
"$2,400.00",1/13/2011,Billy Long for Congress
"$2,400.00",1/13/2011,Billy Long for Congress
"$4,800.00",12/21/2010,Steelman for US Senate
$100.00,12/10/2010,American Institute of Certified Public Accountants Political Action Committee
"$1,400.00",11/2/2010,Vicky Hartzler for Congress
"$1,000.00",9/8/2010,Vicky Hartzler for Congress
"$1,000.00",8/31/2010,Missouri Republican State Committee-Federal
"$1,000.00",6/30/2010,Friends of Roy Blunt
$250.00,4/9/2010,American Institute of Certified Public Accountants Political Action Committee
"$1,000.00",3/25/2010,Friends of Roy Blunt
"$2,400.00",12/30/2009,Billy Long for Congress
"$1,000.00",11/30/2009,Friends of Roy Blunt
"$2,400.00",9/28/2009,Billy Long for Congress
$250.00,4/24/2009,American Institute of Certified Public Accountants Political Action Committee
$250.00,4/21/2008,American Institute of Certified Public Accountants Political Action Committee
"$1,000.00",12/17/2007,Friends of Roy Blunt
$500.00,12/6/2007,"Huckabee for President, Inc."
"$2,000.00",6/30/2007,Friends of Roy Blunt
"$2,000.00",12/28/2005,Friends of Roy Blunt
$20.83,11/15/2005,Morgan Stanley Political Action Committee
$41.66,10/14/2005,Morgan Stanley Political Action Committee
$41.66,9/15/2005,Morgan Stanley Political Action Committee
$41.66,8/15/2005,Morgan Stanley Political Action Committee
$41.66,7/15/2005,Morgan Stanley Political Action Committee
$41.66,6/30/2005,Morgan Stanley Political Action Committee
$41.66,5/13/2005,Morgan Stanley Political Action Committee
$62.49,11/30/2004,Morgan Stanley Political Action Committee
$41.66,9/15/2004,Morgan Stanley Political Action Committee
$41.66,8/13/2004,Morgan Stanley Political Action Committee
$41.66,7/15/2004,Morgan Stanley Political Action Committee
$250.00,5/5/2004,Graves for Congress
"$1,000.00",1/29/2004,Friends of Roy Blunt
"$1,000.00",9/4/2003,Friends of Roy Blunt
$250.00,11/1/2002,"Talent for Senate, Inc."
$250.00,11/1/2002,Talent Victory Committee Inc
"$1,000.00",8/1/2002,Friends of Roy Blunt
"$1,000.00",4/26/2002,Graves for Congress
"$1,000.00",3/20/2001,Friends of Roy Blunt
"$1,603.00",12/29/2000,Friends of Roy Blunt
"$1,000.00",10/17/2000,Friends of Roy Blunt
$800.00,8/8/2000,Friends of Roy Blunt
